,MSE,MAE,Accuracy
0,7.48447322845459,2.102052688598633,0.8196721076965332
1,5.869838237762451,1.7630237340927124,0.9180327653884888
2,4.7578864097595215,1.5800658464431763,0.9180327653884888
3,5.025062561035156,1.6312743425369263,0.9180327653884888
4,4.550626277923584,1.5207624435424805,0.9508196711540222
5,1.4812054634094238,0.9250266551971436,0.9666666388511658
6,1.2280291318893433,0.8511345982551575,0.949999988079071
7,1.0061191320419312,0.7151020169258118,0.8833333253860474
8,2.180502414703369,0.9660853147506714,0.949999988079071
9,1.14786696434021,0.6766239404678345,0.9666666388511658
