,MSE,MAE,Accuracy
0,8.214499473571777,2.2558107376098633,0.8852459192276001
1,4.825023174285889,1.640224814414978,0.9016393423080444
2,4.217791557312012,1.550114393234253,0.9344262480735779
3,4.910898208618164,1.7642565965652466,0.9344262480735779
4,3.947687864303589,1.6974537372589111,0.9508196711540222
5,1.837560772895813,1.1402827501296997,0.9333333373069763
6,1.7826975584030151,1.0843040943145752,0.949999988079071
7,2.1467983722686768,1.22709321975708,0.8666666746139526
8,3.2775986194610596,1.3740851879119873,0.9333333373069763
9,1.8309305906295776,1.1067051887512207,0.949999988079071
