,MSE,MAE,Accuracy
0,7.7229814529418945,2.1211297512054443,0.868852436542511
1,4.305330753326416,1.4847289323806763,0.9016393423080444
2,3.2492823600769043,1.294772982597351,0.9016393423080444
3,4.293383598327637,1.5276621580123901,0.9836065769195557
4,3.157222032546997,1.3554366827011108,0.9672130942344666
5,1.426923394203186,0.9910104870796204,0.9333333373069763
6,1.4958877563476562,0.9956439733505249,0.949999988079071
7,1.659693956375122,1.0481516122817993,0.9166666865348816
8,3.983307361602783,1.4539073705673218,0.9666666388511658
9,1.4823658466339111,0.9845937490463257,0.949999988079071
