,MSE,MAE,Accuracy
0,6.094902992248535,1.7920231819152832,0.8852459192276001
1,3.617192506790161,1.3632493019104004,0.8852459192276001
2,1.737837791442871,0.9299519062042236,0.8852459192276001
3,2.125274658203125,1.057664155960083,0.9344262480735779
4,2.0667643547058105,0.9267802834510803,0.9836065769195557
5,1.0295330286026,0.7036632299423218,0.9333333373069763
6,0.7574666142463684,0.5963116884231567,0.9333333373069763
7,0.8940619826316833,0.6485170722007751,0.9333333373069763
8,1.3346755504608154,0.703654408454895,0.9333333373069763
9,0.3517433702945709,0.44201454520225525,0.9833333492279053
