,MSE,MAE,Accuracy
0,8.095887184143066,2.0851333141326904,0.8852459192276001
1,4.136605262756348,1.5158941745758057,0.9180327653884888
2,5.739215850830078,1.7131940126419067,0.8524590134620667
3,5.520081996917725,1.6834657192230225,0.9180327653884888
4,6.287723541259766,1.9449700117111206,0.9344262480735779
5,3.2830917835235596,1.341865062713623,0.8666666746139526
6,2.667208194732666,1.2540736198425293,0.9166666865348816
7,4.15415096282959,1.4943934679031372,0.9333333373069763
8,7.650980472564697,2.139575719833374,0.8999999761581421
9,3.9212803840637207,1.5049716234207153,0.8833333253860474
